objt_id,fclty_ty,fclty_cd,fclty_nm,adres,rn_adres,telno,ctprvn_cd,sgg_cd,emd_cd,x,y,data_yr
237640,편의점,509010,제이씨푸드시스템CU편의점마트,충청남도 천안시 서북구 성환읍 매주리 21,충청남도 천안시 서북구 성환읍 대학로 91,,44,44133,44133250,14153534.67,4426488.308,2025
237644,편의점,509010,이마트24천안병천탑원점,충청남도 천안시 동남구 병천면 탑원리 109-13,충청남도 천안시 동남구 병천면 충절로 1892,,44,44131,44131360,14172598.23,4406380.41,2025
237646,편의점,509010,씨유천안수신점,충청남도 천안시 동남구 수신면 속창리 127-9,충청남도 천안시 동남구 수신면 수신로 437,,44,44131,44131350,14168935.66,4401708.888,2025
237648,편의점,509010,이마트24천안업성점,충청남도 천안시 서북구 업성동 160-4,충청남도 천안시 서북구 업성3길 51,,44,44133,44133109,14152755.89,4419607.526,2025
237651,편의점,509010,세븐천안불당점,충청남도 천안시 서북구 불당동 697,충청남도 천안시 서북구 검은들3길 9,,44,44133,44133108,14149843.84,4412807.409,2025
237652,편의점,509010,세븐일레븐천안성정,충청남도 천안시 서북구 성정동 1216,충청남도 천안시 서북구 성정중7길 8,,44,44133,44133102,14152491.58,4415237.407,2025
237658,편의점,509010,씨유천안신방로또점,충청남도 천안시 동남구 신방동 1447,충청남도 천안시 동남구 통정9로 33,,44,44131,44131116,14152011.44,4407514.728,2025
237667,편의점,509010,이마트24천안5공단점,충청남도 천안시 동남구 수신면 신풍리 609,충청남도 천안시 동남구 수신면 5산단4로 162-47,,44,44131,44131350,14167151.84,4402713.585,2025
237669,편의점,509010,씨유두정,충청남도 천안시 서북구 두정동 669,충청남도 천안시 서북구 오성로 31,,44,44133,44133104,14152140.79,4415520.22,2025
237670,편의점,509010,지에스더프레시,충청남도 천안시 서북구 차암동 543,충청남도 천안시 서북구 스마일시티2로 2,,44,44133,44133106,14149638,4417746.25,2025
237672,편의점,509010,지에스25성정명성점,충청남도 천안시 서북구 성정동 627-1,충청남도 천안시 서북구 서부19길 22,,44,44133,44133102,14153099.84,4414706.967,2025
237675,편의점,509010,미니스톱성정빅토리점,충청남도 천안시 서북구 성정동 656-1,충청남도 천안시 서북구 서부3길 40,,44,44133,44133102,14153177.21,4414314.913,2025
237676,편의점,509010,세븐남서울대성월점주,충청남도 천안시 서북구 성환읍 성월리 130-7,충청남도 천안시 서북구 성환읍 성월2길 55,,44,44133,44133250,14153187.31,4427449.798,2025
237678,편의점,509010,아이지에이마트신당점,충청남도 천안시 서북구 신당동 109-9,충청남도 천안시 서북구 상고1길 30,,44,44133,44133110,14154985.9,4419232.803,2025
237680,편의점,509010,세븐일레븐천안쌍용충무점,충청남도 천안시 서북구 쌍용동 542-5,충청남도 천안시 서북구 다가말3길 2,,44,44133,44133107,14152164.81,4410904.471,2025
237682,편의점,509010,씨유천안,충청남도 천안시 동남구 신부동 354-1,충청남도 천안시 동남구 만남로 43,,44,44131,44131118,14155076.3,4414043.243,2025
237683,편의점,509010,지에스뉴청당,충청남도 천안시 동남구 청당동 609,충청남도 천안시 동남구 청수8로 72,,44,44131,44131111,14155390.42,4409843.695,2025
237685,편의점,509010,지에스25쌍용이화점,충청남도 천안시 서북구 쌍용동 540-3,충청남도 천안시 서북구 다가말2길 13-1,,44,44133,44133107,14152428.89,4410972.929,2025
237686,편의점,509010,레이크편의점,충청남도 천안시 서북구 성성동 40-14,충청남도 천안시 서북구 성성4길 61,,44,44133,44133105,14152694.79,4417520.789,2025
237697,편의점,509010,CU천안대로점,충청남도 천안시 서북구 성환읍 수향리 441-5,충청남도 천안시 서북구 성환읍 천안대로 2374-2,,44,44133,44133250,14152260.71,4432199.445,2025
237698,편의점,509010,세븐천안봉명그린점,충청남도 천안시 동남구 봉명동 373-3,충청남도 천안시 동남구 개목6길 5,,44,44131,44131113,14152458.29,4413276.111,2025
237699,편의점,509010,씨유천안성성점,충청남도 천안시 서북구 두정동 1047,충청남도 천안시 서북구 부성1길 40,,44,44133,44133104,14152725.17,4416447.591,2025
237700,편의점,509010,지에스25봉명빌리지,충청남도 천안시 동남구 봉명동 237-1,충청남도 천안시 동남구 개목4길 31,,44,44131,44131113,14152398.32,4413628.415,2025
237703,편의점,509010,세븐일레븐천안신부,충청남도 천안시 동남구 신부동 465-11,충청남도 천안시 동남구 먹거리8길 31,,44,44131,44131118,14155008.82,4413682.164,2025
237704,편의점,509010,이마트24천안성거장미점,충청남도 천안시 서북구 성거읍 송남리 13,충청남도 천안시 서북구 성거읍 성거길 81,,44,44133,44133253,14159928.31,4421378.347,2025
237705,편의점,509010,씨유천안성거휴게소점,충청남도 천안시 서북구 성거읍 요방리 193-2,충청남도 천안시 서북구 성거읍 망향로 312,,44,44133,44133253,14157840.11,4418046.833,2025
237710,편의점,509010,씨유단국대천안예술관점,충청남도 천안시 동남구 안서동 산29,충청남도 천안시 동남구 단대로 119,,44,44131,44131118,14155966.86,4416265.563,2025
